Afkorting,Betekenis(sen)
AAO,aanvullende academische opleiding
AB,ambulante begeleiding
ACTB,Advies Commissie Toelating en Begeleiding
ADHD,attention deficit hyperactivity disorder; in de volksmond ook wel uitgedrukt als Alle Dagen Heel Druk.
adm.,administratie
afd.,afdeling
aio,assistent in opleiding
ak.,aardrijkskunde
alg.,algemeen
AMC,Algemene Muzikale Cultuur
AMV,Algemene Muzikale Vorming
AN,"Algemeen Nederlands, maar officieel Standaardnederlands (het vroegere Algemeen Beschaafd Nederlands (ABN))"
ANIOS,Arts niet in opleiding tot specialist
ANSI,American National Standards Institute
AOB,Adviesbureau opleiding en beroep
AOb,Algemene Onderwijsbond
AOc,Agrarisch Opleidingscentrum
AKA,Arbeidsmarkt Kwalificerende Assistentenopleiding
apcg,armoedeprobleemcumulatiegebied
apk.,Aanpassingsklas
aps.,Algemeen pedagogisch studiecentrum
ARA,Algemeen Rijksarchief
ARIE,Aanvullend risico-inventarisatie en -evaluatie
aso,algemeen secundair onderwijs
ASM,Algemene salarismaatregel
ASPV,"Algemene, Sociale en Persoonlijkheidsvorming (ASPV-leerkracht)"
AV,Algemene Voorschriften
avo,algemeen vormend onderwijs
BA,Baccalaureus Artium
ba-ma,bachelor-master
banaba,bachelor na bachelor
bapo,Bevordering arbeidsparticipatie ouderen
bavo,basisvorming
bb,basisberoep(sgericht)
BBA,Bachelor of Business Administration
bbb,Beter Bestuurlijk Beleid
bbl,beroepsbegeleidende leerweg
bnp,bruto binnenlands product
bc.,baccalaureus
BEd,Baccalaureus Educationis
BEng,Bachelor of Engineering
bi,biologie
bgvg,Bedrijfsgebonden Verzuimbegeleiding
bijl.,bijlage
BIS,Begeleid individueel studeren
buko,Buitengewoon kleuteronderwijs
BLL,Legum Baccalaureus
bulo,buitengewoon lager onderwijs
bo,"basisonderwijs, bijzonder onderwijs"
boa,buitengewoon opsporingsambtenaar
bol,beroepsopleidende leerweg
BON,Beter Onderwijs Nederland
BoVO,Basisonderwijs Voortgezet Onderwijs
BPO,Begeleider passend onderwijs
bpv,Beroepspraktijkvorming (in het mbo en vmbo)
BSc,Baccalaureus Scientiae
bso,beroepssecundair onderwijs
BTK,Bijzonder Tijdelijk Kader
buo,buitengewoon onderwijs
buso,buitengewoon secundair onderwijs
bevo,beeldende vorming
bve,beroepsonderwijs en volwasseneneducatie
bvl,beroepsvoorbereidend leerjaar
bwv,bijzondere wetenschappelijke vorming
bzl,begeleid zelfstandig leren
CABO,Commissie Advies Buitengewoon Onderwijs
cao,collectieve arbeidsovereenkomst
cat.,catalogus
CBR,Centraal Bureau Rijvaardigheidsbewijzen
CBS,Centraal Bureau voor de Statistiek
CCEP,Comité consultatif d'études postales
cdo,Centrum voor Deeltijds Onderwijs
centr.,centraal
CFI,Centrale Financiën Instellingen
c.i.,civiel ingenieur
cito,Centraal Instituut voor Toetsontwikkeling
CIUF,Conseil interuniversitaire de la Communauté française
ckv,Culturele en kunstzinnige vorming
c.l.,cum laude (met lof)
CLB,Centrum voor Leerlingenbegeleiding
CLIL,"""Content and Language Integrated Learning"", een vorm van tweetalig onderwijs"
CM,Cultuur & Maatschappij
CNV,Christelijk Nationaal Vakverbond
colo,Centraal Orgaan van Landelijke Opleidingsorganen (bedrijfsleven)
COO,"Commissie voor Openbare Onderstand, voorloper van OCMW"
cpb,Centraal Planbureau
CROHO,Centraal Register Opleidingen Hoger Onderwijs (Nederland)
CSg,Christelijke Scholengemeenschap
cvb,College van bestuur (Nederland)
cvo,Centrum Volwassenenonderwijs
CVS,Chronischevermoeidheidssyndroom
CWI,Centrum voor Werk en Inkomen
db,Dagelijks Bestuur
dbso,deeltijds beroepssecundair onderwijs
Dep(t),departement
dg.,doopsgezind
dir.,directeur
dra.,doctoranda
drs.,doctorandus
Dr.,doctor
dr,drama
ds.,dominee
dvo,Dienst voor onderwijsontwikkeling
EAJ,Experimentele Arbeidsplaatsen Jeugdigen
ebb,Enquête Beroepsbevolking
ecabo,economisch en administratief beroeps onderwijs
ECTS,European Credit Transfer System (een systeem van studiepunten in het Hoger onderwijs)
EER,Europese Economische Ruimte
EDO,Educatie voor duurzame ontwikkeling
