Afkorting,Betekenis(sen)
a,are
A,ampère
AA,Anonieme Alcoholisten; American Airlines
aab,algemeen aanduidingenbesluit
AAC,Amsterdams Archeologisch Centrum; Amsterdamse Atletiek Combinatie
aaf,algemeen arbeidsongeschiktheidsfonds
AAG,Afdeling Agrarische Geschiedenis
aanw.vnw.,aanwijzend voornaamwoord
AAO,Aanvullende Academische Opleiding
A.A.S.R.,Algemene Amsterdamse Studenten Roeivereniging; Aloude en Aangenomen Schotse Ritus
aav,algemene administratievoorschriften
AAW,Algemene Arbeidsongeschiktheidswet
a/b,aan boord (aan boord van het schip)
AB,Algemeen Beschaafd; Algemeen Bestuur; Anheuser-Busch
ABC,Atomaire Biologische Chemische wapens
ABC-eilanden,"Aruba, Bonaire, Curaçao"
abd,algemene bestuursdienst
ABH,Agentschap Buitenlandse Handel
ABK,Akademie Beeldende Kunsten
ABM,Algemene Bepalingen Milieuhygiëne
ABN,Algemeen Beschaafd Nederlands; Algemene Bank Nederland; Acta Botanica Neerlandica
ABO,Amsterdam Baroque Orchestra
ABP,Algemeen Burgerlijk Pensioenfonds
abs,antiblokkeersysteem; aandelenbezit streekvervoer; Algemeen Boerensyndicaat
ABTB,Aartsdiocesane Boeren- en Tuindersbond
ABU,Algemene Bond Uitzendbureaus
ABV,Academie Beeldende Vorming
ABVA,Algemene Bond van Ambtenaren
ABVV,Algemeen Belgisch Vakverbond
ABZ,Algemeen-Bestuurlijke Zaken
Abw,algemene bijstandswet (oude wet)
ABW,Algemene Bond van Werknemers
Ac,Actinium
AC,Alternating Current (Wisselstroom); audiologisch centrum; Appellation Contrôlée (gecontroleerde herkomstbenaming)
ACAB,"All Cops Are Bastards, (slang) (Alle politieagenten zijn klootzakken)"
acb,algemeen controlebeleid
ACLVB,Algemene Centrale der Liberale Vakbonden van België
AC&M,Autoriteit Consument en Markt
ACOD,Algemene Centrale der Openbare Diensten
ACV,Algemeen Christelijk Vakverbond
AD,Algemeen Dagblad; Anno Domini (in het jaar onzes Heren)
