Afkorting,Betekenis(sen)
A,ampère
A2DP,Advanced Audio Distribution Profile
AA of A.A.,Anti-aliasing;  Auto-answer
ABR,Available Bit Rate; Area Border Router
AC,alternating current (Wisselstroom)
ACD,Automatic Call Distribution (telefonie)
ADC,analog-to-digital converter; Apple Display Connector
ADPCM,adaptive differential pulse-code modulation
ADSL,asymmetric digital subscriber line
ADFS,Active Directory Federation Services
AES,Advanced Encryption Standard
AI,artificiële intelligentie
AM,amplitudemodulatie
ANSI,American National Standards Institute
AOC,Advice Of Charge
API,application programming interface
APON,ATM Passive Optical Network
ARP,address resolution protocol
ASCII,American Standard Code for Information Interchange
ATM,Adobe Type Manager; asynchronous transfer mode
BBS,bulletin board system
Bcc.,blind carbon copy
BGP,Border Gateway Protocol
BIOS,basic input/output system
bit,binary digit
BRA,Basic Rate Access
BRI,Basic Rate Interface
BSoD,Blue screen of death
C7,Common Channel Signalling System nr. 7
CBR,Constant Bit-Rate
cc,"carbon copy, copy conform (NB: ondanks de huidige spelling van het woord kopie met een k.)"
CCITT,Comité Consultatif International Télégraphique et Téléphonique
CCS7,Common Channel Signalling System nr. 7
cd,compact disc
CIFS,Common Internet File System
codec,coder/decoder
COLT,City of London Telecom Group
CPU,central processing unit (in games vaak gebruikt om een computergestuurde speler aan te duiden)
CRM,customer relationship management
CRTC,Canadian Radio-television and Telecommunications Commission
CSMA/CA,Carrier Sense Multiple Access met Collision Avoidance
cve,centrale verwerkingseenheid
DAB,Digital Audio Broadcasting
DAC,digital-to-analog convertor
DAS,Direct-attached storage
DDOS,Distributed Denial of Service Attack
DHCP,Dynamic Host Configuration Protocol
DMZ,Demilitarized zone
DNS,Domain Name System
DOS,Disk Operating System
DPCM,differentiële pulscodemodulatie
DSL,digital subscriber line
DSLAM,Digital Subscriber Line Access Multiplexer
DSP,digitale signaalprocessor of digital signal processing
dtp,desktoppublishing
dvd,digital versatile disc
E1,"Europees, 1e orde"
ENIAC,Electronic Numerical Integrator And Calculator
EPD,Elektronisch patiëntendossier
EPROM,erasable programmable read-only memory
ERP(S),enterprise resource planning (system)
ETSI,European Telecommunication Standardisation Institute (Europees Telecommunicatie en Standaardisatie Instituut)
EXIN,EXamenINstituut
F,farad
FAB,functioneel applicatiebeheer
FAT,Field Acceptance Test; File Allocation Table
fax,telefacsimile
FF,"FireFox (internetbrowser); Fast Forward (audio/video: snel vooruit spoelen, vaak >>)"
FM,frequentiemodulatie
FSK,Frequency Shift Keying
FTP,file transfer protocol
GB,gigabyte
GPRS,general packet radio service
gps,global positioning system
gsm,global system for mobile communications / Groupe Spéciale Mobile
GUI,graphical user interface (grafische gebruikersomgeving)
H,henry
hd,high definition
HDSL,High-speed Digital Subscriber Line
HP,Hewlett Packard
HTML,HyperText Markup Language
HTTP,HyperText Transfer Protocol
