Afkorting,Betekenis(sen)
@,"at-teken of apenstaart, @-teken"
AAA,"Authentication, Authorization en Accounting"
AAC,Advanced Audio Coding
AAL,ATM Adaption Layer
AARP,AppleTalk Address Resolution Protocol
ABI,application binary interface
ABIOS,Advanced BIOS
ACF/NCP,Advanced Communications Function/Network Control Program
ACF,Application Configuration File
ACGI,Asynchronous CGI
ACK,Acknowledge
ACL,Appletalk Class Library
ACL,access control list
ACPI,advanced configuration and power integration
ACR,Allowed Cell Rate
AD,Active Directory
ADC,analog-to-digital converter of Apple Display Connector
ADF,Automatic Document Feeder of Automated Document Factory
ADO,ActiveX Data Objects
ADPCM,adaptive differential pulse-code modulation
ADSI,Active Directory Services Interface
ADSL,asymmetric digital subscriber line
ADSP,AppleTalk Data Stream Protocol
ADSU,ATM DSU
AES,Advanced Encryption Standard
AF,Anisotropische Filtering
AFP,"AppleTalk Filing Protocol, Advanced Functions Presentations"
AFR,alternate frame rendering
AGP,accelerated graphics port
AH,Authentication Header
AI,artificiële intelligentie
AIF,Auto Increment Field
AIFF,Audio Interchange File Format
AIM,AOL Instant Messenger
AIO,Asynchronous Input/Output
AIT,Advanced Intelligent Tape
AJAX,Asynchronous JavaScript And XML
Algol,Algorithmic Language (programmeertaal)
ALU,arithmetic/logic unit
AMP,asymmetric multiprocessing
AMR,audio/modem riser
AMU,Address Management Unit
ANSI,American National Standards Institute
AOCE,Apple Open Collaboration Environment
AODI,Always On/Dynamic ISDN
AP,access point
API,application programming interface
APM,"advanced power management, Application Performance Management"
APON,ATM Passive Optical Network
APP,Asynchronous Pluggable Protocal
ARAP,AppleTalk Remote Access Protocol
ARD,Apple Remote Desktop
ARM,Asynchronous Response Mode
ARP,address resolution protocol
ARPC,Asynchrone Remote Procedure Call
ARQ,automated repeat request
ASAM,ATM Subscriber Access Multiplexer
ASC,Apple Sound Chip
ASCII,American Standard Code for Information Interchange
ASF,Advanced Streaming Format
ASF,Auto Sheet Feeder
ASIC,application-specific integrated circuit
ASIP,AppleShare IP
ASP,"AppleTalk Session Protocol, Active Server Pages, Application Service Provider, Auxiliary Signal Path"
ASPI,advanced SCSI programming interface
ASR,automatic system recovery
AST,Automatic Spanning Tree
ASV,Advanced Super View
AT&T,geregistreerd handelsmerk van American Telephone and Telegraph Company
AT,Advanced Technology
ATA,Advanced Technology Attachment
ATAG,Authoring Tool Accessibility Guidelines
ATAPI,Advanced Technology Attachment Packet Interface
ATC,Advanced Transfer Cache
ATL,Active Template Library
ATLAP,AppleTalk Link Access Protocol
