Afkorting,Betekenis(sen)
AAW,Algemene Arbeidsongeschiktheidswet (NL)
ABW,"Algemene bijstandswet (1965-2004, vervangen door WWB) (NL)"
AKW,Algemene Kinderbijslagwet (NL)
AMvB,Algemene maatregel van bestuur (Nederland)
Anw,Algemene nabestaandenwet (NL)
AOW,Algemene Ouderdomswet (NL)
APK,Algemene periodieke keuring (NL)
ARAB,Algemeen Reglement voor de Arbeidsbescherming (BE)
ARAR,Algemeen Rijksambtenarenreglement (NL)
Ai,"Ambtsinstructie Politie, Koninklijke Marechaussee en andere opsporingsambtenaren (NL)"
Arbowet,Arbeidsomstandighedenwet (NL)
Aw,Auteurswet (NL)
Awb,Algemene wet bestuursrecht (NL)
AWBZ,Algemene Wet Bijzondere Ziektekosten (NL)
AWR,Algemene wet inzake rijksbelastingen (NL)
AWW,Algemene Weduwen- en Wezenwet (vervangen door Anw) (NL)
BAG,Basisregistratie Adressen en Gebouwen (2008) (NL)
BAPO,Bevordering Arbeidsparticipatie Ouderen (NL)
BBSH,Besluit Beheer Sociale Huursector (NL)
Bevi,Besluit externe veiligheid inrichtingen (NL)
BHW,Besluit huurprijzen woonruimte (NL)
BIBOB,Bevordering Integriteitsbeoordelingen door het Openbaar Bestuur (2002) (NL)
BIG,Beroepen in de Individuele Gezondheidszorg (1993) (NL)
BKH,Besluit kleine herstellingen (NL)
BKR,"Beeldende Kunstenaars Regeling, Beeldendekunstenaarsregeling (NL)"
Bopz,Bijzondere opnemingen in psychiatrische ziekenhuizen (1994) (NL)
BRI,Basisregistratie Inkomen
BS,Besluit servicekosten (NL)
BTW en btw,belasting over de toegevoegde waarde (BE/NL)
BVR,Besluit van de Vlaamse regering (BE)
BW,Burgerlijk Wetboek (BE/NL)
cao,collectieve arbeidsovereenkomst
CFI,Centrale Financiën Instellingen
FinBES,"Wet financiën openbare lichamen Bonaire, Sint Eustatius en Saba (2010) (NL)"
FLO,functioneel leeftijdsontslag
FPU,Flexibel Pensioen en Uittreden
Fw,Faillissementswet (NL)
GAK,Gemeenschappelijk Administratiekantoor (1952-2002) (NL)
