Afkorting,Betekenis(sen)
1q21,Menselijk chromosoom 1
18F,Florbetapir (18F)
AAA,aneurysma aorta abdominalis
AAAA,acuut aneurysma aorta abdominalis
AAN,American Academy of Neurology
AAV,ANCA Geassocieerde Vasculitis
ABIM,American Board of Internal Medicine
ABO,Association Belge d’Orthoptie
ABPM,"1. ambulatory blood pressure monitoring; 2. American Board of Preventive Medicine, 3. American Board of Pain Medicine"
ACE,angiotensine-converterend enzym
ACCM,Accreditation Commission of Colleges of Medicine
ACLS,advanced cardiac life support (ook wel: advanced cardiovascular life support)
ACM,aritmogene cardiomyopathie
ACNES,abdominale intercostale neuralgie
ACS,acuut coronair syndroom
ACT,"activated clotting time, een bloedtest"
ACTA,Academisch Centrum Tandheelkunde Amsterdam
ACTH,adrenocorticotroop hormoon (corticotropine)
ADD,aandachtstekortstoornis
ADEM,acute gedissemineerde encefalomyelitis
ADH,antidiuretisch hormoon
ADHD,attention deficit hyperactivity disorder (ADHD)
ADPS,activated PI3K delta syndrome (geactiveerd PI3K-delta-syndroom)
Adrz,"Admiraal de Ruyterziekenhuis, ook ADRZ"
AF,1. atriumfibrileren/atriumflutter; 2. ademfrequentie
AED,automatische externe defibrillator
AGD,anogenital distance
Aids,acquired immune deficiency syndrome (Aids)
AION,anterieure ischemische opticusneuropathie
AIOS,1. arts in opleiding tot specialist (AIOS); 2. apotheker in opleiding tot specialist
AJN,Artsen Jeugdgezondheidszorg Nederland (Jeugdartsen Nederland)
ALAT,alanine-aminotransferase (een enzym)
ALS,amyotrofe laterale sclerose
AMC,Academisch Medisch Centrum
AMD,age-related macular degeneration (leeftijdgebonden maculadegeneratie (LMD))
AMG,Arzneimittelgesetz (wet in Duitsland en in Oostenrijk inzake geneesmiddelen)
AMI,acuut myocardinfarct
AML,acute myeloïde leukemie
AMLC,Amsterdam UMC Multidisciplinair Lymeziekte Centrum
Amref,African Medical & Research Foundation
AMS,arteria mesenterica superior
ANCA,antineutrofiele cytoplasmatische antistoffen
ANT,"Associatie Nederlandse Tandartsen (1995-2020), in 2021 opgegaan in KNMT"
ANIOS,arts niet in opleiding tot specialist (ANIOS)
ANP,atriaal natriuretisch peptide
ANVH,Alle Nascholingen Voor Huisartsen
APC,acetylsalicylzuur-paracetamol-cafeïne
APL,acute promyelocytenleukemie
APS,antifosfolipidensyndroom
APTT,"activated partial thromboplastin time (geactiveerde partiële tromboplastinetijd, ook: aPTT), een diagnostische test"
AQ,autismespectrumquotiënt
Arfid,avoidant/restrictive food intake disorder (selectieve eetstoornis)
ARMB,Académie royale de médecine de Belgique
arts M&G,"arts Maatschappij en Gezondheid, ook arts M+G"
ASAT,aspartaat-aminotransferase (een enzym)
ATMF,Acces to Medicine Foundation (Stichting Access to Medicine)
AVG,arts voor verstandelijk gehandicapten
AvL,Antoni van Leeuwenhoekziekenhuis
AVM,arterioveneuze malformatie
AVR,aortic valve replacement (aortaklepvervanging)
AZ,Academisch Ziekenhuis
AZL,Academisch Ziekenhuis Leiden (sinds 1998 LUMC)
AZP,Academisch Ziekenhuis Paramaribo
AZS,Antonius Ziekenhuis Sneek
BASC,BRCA1-associated genome surveillance complex (een eiwitcomplex)
BASF,Badische Anilin- & Soda-Fabrik (BASF) (Badense Aniline- & Soda-Fabriek)
BDNF,brain-derived neurotrophic factor (zenuwcelstimulerende factor)
BDZ,benzodiazepine
BCFI,Belgisch Centrum voor Farmacotherapeutische Informatie
BFS,benigne fasciculatiesyndroom
BG Pharma,Bond van Groothandelaren in het Pharmaceutische Bedrijf
BIG,"Beroepen in de Individuele Gezondheidszorg; Wet BIG, Wet op de beroepen in de individuele gezondheidszorg; BIG-register"
BG,"Binnengasthuis (in 1981 opgegaan in het Academisch Medisch Centrum (AMC), Amsterdam)"
BKZ,Beatrix Kinderziekenhuis
BMA,British Medical Association
BMC,Bureau voor Medicinale Cannabis (CIBG)
BMD,"botmineraaldichtheid, ook: bone mineral density"
BMI,body mass index
BMJ,British Medical Journal
BMR,"bof, mazelen en rodehond (> BMR-vaccin)"
BNP,brain natriuretic peptide
BOD,biochemical oxygen demand
BOV,Belgische Orthoptische Vereniging
BPA,bisphenol A (bisfenol A)
BPH,"benigne prostaathyperplasie, een goedaardige vergroting van de prostaat"
BRBNS,blue-rubber-bleb-nevussyndroom
BRCA1,"breast cancer 1, early onset (een menselijk gen)"
BRIC,benigne recidiverende intrahepatische cholestase
BRMO,bijzonder resistente micro-organismen (BRMO)
BSE,1. bezinkingssnelheid van de erytrocyten; 2. boviene spongiforme encefalopathie (gekkekoeienziekte)
BUN,"blood urea nitrogen, een bloedtest"
BVK,Belgische Vereniging voor Kindergeneeskunde
BVKC,Belgische Vereniging van Klinische Chemie
BVOT,Belgische Vereniging voor Orthopedie en Traumatologie
BWS,syndroom van Beckwith-Wiedemann
CABG,coronary artery bypass grafting (overbruggingsoperatie of bypass-operatie)
CAD,1. computer-aided diagnosis; 2.  Consultatiebureau voor Alcohol en Drugs; 3. coronary artery disease (een aandoening aan de kransslagader)
CAL,Centraal Apotheek Leiden
cAMP,cyclisch adenosinemonofosfaat
CAN,Cannabinoïden Adviesbureau Nederland
CAPS,catastrofaal antifosfolipidensyndroom
CARA,chronische aspecifieke respiratoire aandoeningen
CAS,CRISPR associated systeem
CAV,Collectief Aanvullende Verzekering (bij verzekeraar DSW)
CBD,cannabidiol
CBG,College ter Beoordeling van Geneesmiddelen
CBO,"Centraal BegeleidingsOrgaan, een voormalig kwaliteitsinstituut voor de gezondheidszorg"
CBS,Charles Bonnet-Syndroom (Syndroom van Charles Bonnet)
CCD,1. central core disease; 2. Centrale Commissie Dierproeven
CCI,Charlson comorbidity index
CCMO,Centrale Commissie Mensgebonden Onderzoek
CCSVI,chronische cerebro-spinale veneuze insufficiëntie
CCU,coronary care unit (hartbewakingsafdeling)
CDC,Centers for Disease Control and Prevention (Centra voor Ziektebestrijding en -preventie) (USA)
CDSS,clinical decision support system
CDT,carbohydrate deficient transferrin (koolhydraatdeficiënt transferrine)
CED,Council of European Dentists
CEG,Centrum voor Ethiek en Gezondheid
CEPI,Coalition for Epidemic Preparedness Innovations
CF,cystische fibrose (Ook: cystic fibrosis)
CFR,case fatality ratio
CFRD,cystic fibrosis related diabetes
CFS,chronic fatigue syndrome (chronischevermoeidheidssyndroom)
CFTD,congenitale vezeltype-disproportie
CFTR,cystic fibrosis transmembrane conductance regulator
CG,"chronisch zieken en gehandicapten (> CG Raad Nederland, in 2014 opgegaan in de koepelorganisatie Ieder(in))"
CGA,comprehensive geriatric assessment
CGG,"Centrum voor Geestelijke Gezondheidszorg, een zorgvoorziening voor geestelijke gezondheidszorg in Vlaanderen"
CGH,comparative genome hybridization (pre-implantatiegenetische diagnostiek)
CGSO,Centrum voor Geboorteregeling en Seksuele Opvoeding (CGSO)
CGT,"cognitieve gedragstherapie, een vorm van psychotherapie"
CHDR,Centre for Human Drug Research
CHOP,cyclofosfamide  hydroxydaunorubicine  oncovin/vincristine prednison (een combinatiechemotherapie)
CHT,congenitale hypothyreoïdie
CIAB,chronische idiopathische axonale polyneuropathie
Cib,Centrum Infectieziektebestrijding (een onderdeel van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM))
CIBG,"CIBG, (voorheen) Centraal Informatiepunt Beroepen Gezondheidszorg, thans (niet meer ladingdekkend) CIBG als naam"
CIMS,Covid-19 vaccinatie informatie- en monitoringsysteem
CIRC,Centre International de Recherche sur le Cancer (Internationaal Agentschap voor Kankeronderzoek)
CIZ,"Centrum Indicatiestelling Zorg, een uitvoeringsinstantie van het ministerie van VWS"
CJD,"Creutzfeldt-Jakob disease, Ziekte van Creutzfeldt-Jakob, een prionziekte"
