Afkorting,Betekenis(sen)
ABS,Acrylonitril-butadieen-styreen
CA,Celluloseacetaat
CAB,Celluloseacetobutyraat
CAP,Celluloseacetopropionaat
CF,Cresolformaldehyde
CMC,Carboxymethylcellulose
CN,Cellulosenitraat
CP,Cellulosepropionaat
CS,Caseïne
DAP,Diallylftalaat
DNA,Desoxyribonucleïnezuur
EC,Ethylcellulose
EP,Epoxyhars
HDPE,Hogedichtheidpolyetheen
MF,Melamineformaldehyde
PA,Polyamide
PB,Polybutyleen
PC,Polycarbonaat
PCTFE,Polychloortrifluoretheen
PE,Polyetheen
PEG,Polyethyleenglycol
pet/PETP,Polyetheentereftalaat
PF,Bakeliet
PIB,Polyisobuteen
PMMA,Polymethylmethacrylaat
POM,Polyoxymethyleen
PP,Polypropeen
PS,Polystyreen
PTFE,Polytetrafluoretheen
PUR,Polyurethaan
PVAC,Polyvinylacetaat
PVAL,Polyvinylalcohol
PVB,Polyvinylbutyral
pvc,Polyvinylchloride
PVCA,Polyvinylchlorideacetaat
PVCC,gechloreerd polyvinylchloride
PVDC,Polyvinylideenchloride
PVF,Polyvinylfluoride
PVFO,Polyvinylformal
PVOH,Polyvinylalcohol
RNA,Ribonucleïnezuur
SAN,Styreenacrylonitril
SB,Styreenbutadieen
SI,Silicone
UF,Ureumformaldehyde
UP,onverzadige polyester
